top - 15:28:20 up  4:25,  1 user,  load average: 2,42, 2,75, 2,22
Tasks: 389 total,   1 running, 388 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13,6 us,  0,8 sy,  0,0 ni, 85,6 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  31835,6 total,  20859,3 free,   4557,7 used,   6418,6 buff/cache
MiB Swap:   7628,0 total,   7628,0 free,      0,0 used.  26111,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  69311 root      20   0   11,8g 193256  28516 S 100,0   0,6   1:49.03 java
   1003 root      20   0   12188   6908   6068 S   0,0   0,0   0:00.00 sshd
   1008 root      20   0  248248   8796   7596 S   0,0   0,0   0:00.03 gdm3
   1017 root      20   0  126812  23428  15224 S   0,0   0,1   0:00.04 unatte+
   1047 root      20   0  261120  10052   8424 S   0,0   0,0   0:01.22 upowerd
   1074 rtkit     21   1  152936   3056   2816 S   0,0   0,0   0:00.26 rtkit-+
   1190 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 USBC00+
   1458 colord    20   0  254920  14972   9704 S   0,0   0,0   0:00.14 colord
   1504 root      20   0  323288   9960   8200 S   0,0   0,0   0:00.04 gdm-se+
   1515 satrai    20   0   20084  10832   8196 S   0,0   0,0   0:07.03 systemd
   1516 satrai    20   0  170016   3708      4 S   0,0   0,0   0:00.00 (sd-pa+
   1523 satrai    39  19  520160  24884  16696 S   0,0   0,1   0:00.18 tracke+
   1527 satrai    20   0    8596   5784   3912 S   0,0   0,0   0:01.82 dbus-d+
   1531 satrai    20   0  248824   7752   6800 S   0,0   0,0   0:00.13 gnome-+
   1547 satrai    20   0  248460   7896   6864 S   0,0   0,0   0:00.08 gvfsd
   1552 satrai    20   0  378348   5668   5152 S   0,0   0,0   0:00.00 gvfsd-+
   1557 satrai    20   0  322684   9616   7832 S   0,0   0,0   0:12.65 gvfs-u+
   1565 satrai    20   0  246748   6504   5776 S   0,0   0,0   0:00.03 gvfs-g+
   1570 satrai    20   0  325360   9040   8020 S   0,0   0,0   0:00.45 gvfs-a+
   1578 satrai    20   0  244512   5960   5428 S   0,0   0,0   0:00.02 gvfs-g+
   1582 satrai    20   0  561916  34592  28408 S   0,0   0,1   0:00.64 goa-da+
   1583 root      10 -10       0      0      0 S   0,0   0,0   0:00.00 krfcom+
   1590 satrai    20   0  323392   8800   7764 S   0,0   0,0   0:00.10 goa-id+
   1596 satrai    20   0  244340   5756   5132 S   0,0   0,0   0:00.02 gvfs-m+
   1612 satrai    20   0  172652   6672   6040 S   0,0   0,0   0:00.01 gdm-x-+
   1624 satrai    20   0  196852  13864  12380 S   0,0   0,0   0:00.01 gnome-+
   1693 satrai    20   0    6044    452      0 S   0,0   0,0   0:00.04 ssh-ag+
   1711 satrai    20   0  305560   6656   6072 S   0,0   0,0   0:00.00 at-spi+
   1716 satrai    20   0    7388   4328   3868 S   0,0   0,0   0:00.79 dbus-d+
   1724 satrai    20   0   98696   4196   3776 S   0,0   0,0   0:00.00 gnome-+
   1731 satrai    20   0  419096  15604  13012 S   0,0   0,0   0:00.18 gnome-+
   1771 satrai    20   0  397284  13120   6864 S   0,0   0,0   0:55.45 ibus-d+
   1775 satrai    20   0  171340   7088   6452 S   0,0   0,0   0:00.00 ibus-m+
   1776 satrai    20   0  284392  31836  18220 S   0,0   0,1   0:09.19 ibus-e+
   1780 satrai    20   0  206604  28328  18440 S   0,0   0,1   0:00.38 ibus-x+
   1783 satrai    20   0  245140   7204   6556 S   0,0   0,0   0:00.07 ibus-p+
   1793 satrai    20   0  162840   7836   7052 S   0,0   0,0   0:02.61 at-spi+
   1797 satrai    20   0  244232   4604   4172 S   0,0   0,0   0:00.00 xdg-pe+
   1799 satrai    20   0  581332  20392  17432 S   0,0   0,1   0:00.06 gnome-+
   1810 satrai    20   0 1078824  25908  22056 S   0,0   0,1   0:00.07 evolut+
   1817 satrai    20   0 1388004  31084  26796 S   0,0   0,1   0:00.74 evolut+
   1823 satrai    20   0 2938920  26672  21664 S   0,0   0,1   0:00.05 gjs
   1842 satrai    20   0  156364   5716   4956 S   0,0   0,0   0:00.10 dconf-+
   1848 satrai    20   0  763880  30376  26488 S   0,0   0,1   0:00.71 evolut+
   1850 satrai    20   0  318296   6768   6156 S   0,0   0,0   0:00.02 gsd-a1+
