"topic","app","bandwidth_12_001","bandwidth_8_001","bandwidth_9_001","bandwidth_10_001","bandwidth_11_001","bandwidth_13_001"
"topic1","app7","0.032941307292181025","0.8234573562237031","0.08591966647426318","0.05704792653855679","0.043629269017080786","0.02940731104369555"
"topic26","app1","0.031741685200045576","0.7760904925182311","0.10640776536771823","0.058956104719093266","0.04083909031191273","0.02615412799874789"
"topic19","app2","0.0319172354462003","0.8635763737680672","0.10290233515002352","0.0594060874463607","0.04083726332299209","0.02636514963014798"
"topic22","app5","0.031681384198932704","0.880227521106872","0.10589336525357385","0.05947751049953778","0.04167374963619112","0.026294383119956896"
"topic7","app12","0.03175692844731243","0.862542414630229","0.10785114043310141","0.06037580735051408","0.04160777212675317","0.02619582806440256"
"topic27","app3","0.028373314133274822","0.8503991017343044","0.10356611426744466","0.05568480637615974","0.03804815166849475","0.022510331043021203"
"topic3","app3","0.027329376254772657","0.8815487929329769","0.1004762083103439","0.059855282373605406","0.0356177909560327","0.024315933332839695"
"topic16","app4","0.03129434887190137","0.8590487268946094","0.10558298170596606","0.0582351889000287","0.040912745452495416","0.025979095133023215"
"topic30","app7","0.03217371659680062","0.8548743362096994","0.11138642292024187","0.05769982148522452","0.0414749177878525","0.026404744046824705"
"topic14","app1","0.035234178406891026","0.8570778429904996","0.11234989823649577","0.06279486550364154","0.04445667227969654","0.02948486042407599"
"topic26","app11","0.0312880261723632","0.8120457271063001","0.10534515382775621","0.05888396502692043","0.04109892672411049","0.026187024054125103"
"topic13","app11","0.03143492137766503","0.8519263884595537","0.10565517294997104","0.059038303300210905","0.0412250484710447","0.026101731323435858"
"topic15","app15","0.028314399581390846","0.8415714744045619","0.1001015083194527","0.05290842274425885","0.03646464271759561","0.023084201642964076"
"topic5","app6","0.03127365342407825","0.8511369622454299","0.10944318211367624","0.059443267946715374","0.04082488320486427","0.026149195112929274"
"topic2","app15","0.03807228288410999","0.8715800338804766","0.1135113372992204","0.06360273380231576","0.04749006614852875","0.032142078451797285"
"topic27","app4","0.028651076475559655","0.8503202373809918","0.10230624748200688","0.05556540339108743","0.03842693954728228","0.0227029656594522"
"topic17","app10","0.03182985774289267","0.8584063568140148","0.10359084167367547","0.0574681810000435","0.0414773549976387","0.02593141354456506"
